,company
933,Korea Electric Power Corp
934,Penumbra Inc
935,De Grey Mining Ltd
936,Nobia AB
937,Baker Hughes Co
938,Gongniu Group Co Ltd
939,Inmobiliaria Colonial SA
940,Nippon Flour Mills Co Ltd
941,IMS Health Holdings Inc
942,Tsogo Sun Hotels Ltd
943,Daewoo Engineering & Construction Co Ltd
944,Zhejiang CONBA Pharmaceutical Co Ltd
945,Grupo Catalana Occidente SA
946,Totvs SA
947,Scorpio Bulkers Inc
948,Sao Martinho SA
949,Yunnan Tin Co Ltd
950,Cognizant Technology Solutions Corp
951,Keyera Corp
952,TE Connectivity Ltd
953,CytomX Therapeutics Inc
954,Neuronetics Inc
955,Epiroc AB
956,Hudbay Minerals Inc
957,First Financial Bankshares Inc
958,Fusion-Io LLC
959,Alexion Pharmaceuticals Inc
960,Vinda International Holdings Ltd
